Company,Investment,Address,City,State,LAT,LON,Industry,Jobs,Announcement Date
Tesla,3600,"Sparks, Nevada",Sparks,NV,39.57536,-119.715443,EVs & Batteries,3000,1/24/23
Agilent,725,"TBD, CO",TBD,CO,39.113,-105.3589,Biomanufacturing,N/A,1/26/23
LioChem,104,"Simpson County, KY",Simpson County,KY,36.740937,-86.581793,EVs & Batteries,140,1/26/23
General Motors and Lithium Americas,650,"Humboldt County, NV",Humboldt County,NV,41.2,-118.17,EVs & Batteries,1500,1/31/23
Western Digital,350,"Fremont, CA",Fremont,CA,37.5483,-121.9886,Semiconductors & Electronics,240,1/31/23
Integra Technologies,1800,"Wichita, KS",Wichita,KS,37.681045,-97.461054,Semiconductors & Electronics,2000,2/2/23
Genentech,450,"Oceanside, CA",Oceanside,CA,33.2,-117.3,Biomanufacturing,150,2/12/23
Ford,3500,"Marshall, MI",Marshall,MI,42.2609,-84.9574,EVs & Batteries,2500,2/13/23
EdgeEnergy,150,"Cincinnati, OH",Cincinnati,OH,39.196927,-84.544187,EVs & Batteries,30,2/15/23
Microchip,880,"Colorado Springs, CO",Colorado Springs,CO,38.5,-104.6,Semiconductors & Electronics,400,2/17/23
EMP Shield,1900,"Burlington, KS",Burlington,KS,38.23645,-95.729137,Semiconductors & Electronics,1200,2/20/23
Sewon America,300,"Effingham County, GA",Effingham County,GA,32.36168,-81.343372,EVs & Batteries,740,2/21/23
Nucor,3100,"Point Pleasant, WV",Point Pleasant,WV,38.8575,-82.1286,Heavy Industry,800,2/23/23
Li-Cycle,485,"Rochester, NY",Rochester,NY,43.197,-77.63,EVs & Batteries,270,2/27/23
Stellantis,155,"Kokomo, IN",Kokomo,IN,40.4822,-86.25317,EVs & Batteries,265,2/28/23
General Electric,450,Multi-state,Multi-state,Multi-state,N/A,N/A,Clean Energy,1700,3/3/23
Amprius Technologies,190,"Denver, CO",Denver,CO,39.764339,-104.855111,EVs & Batteries,N/A,3/6/23
Invenergy and LONGi,600,"Pataskala, OH",Pataskala,OH,40.011232,-82.705055,Clean Energy,850,3/13/23
CMG Clean Tech,431,"Osceola County, FL",Osceola County,FL,27.995,-81.2593,Clean Energy,1200,3/19/23
CS Wind,TBD,"Pueblo, CO",Pueblo,CO,38.170658,-104.489892,Clean Energy,850,3/21/23
Constellation Energy,800,"Braidwood and Byron, IL",Braidwood and Byron,IL,41.448474,-87.978456,Clean Energy,N/A,3/22/23
Cirba Solutions,300,"Columbia, SC",Columbia,SC,34.037509,-80.937565,EVs & Batteries,300,3/22/23
Entek,1500,"Terre Haute, IN",Terre Haute,IN,39.465053,-87.373319,EVs & Batteries,640,3/23/23
Albemarle,1300,"Chester County, SC",Chester County,SC,34.682744,-81.173933,EVs & Batteries,300,3/23/23
HAGA,147,"Bartow County, GA",Bartow County,GA,32.8811,-82.2722,Clean Energy,160,3/23/23
LG Energy,5500,"Queen Creek, AZ",Queen Creek,AZ,33.223582,-111.60746,EVs & Batteries,N/A,3/24/23
Cummins,452,"Jamestown, NY",Jamestown,NY,42.101,-79.238,Clean Energy,N/A,3/27/23
Microvast,504,"Hopkinsville, KY",Hopkinsville,KY,36.892059,-87.492986,EVs & Batteries,560,3/30/23
Adams Fork Energy/CNX,TBD,"Mingo County, WV",Mingo County,WV,37.72116,-82.159,Clean Energy,N/A,4/3/23
Scout Motors,2000,"Columbia, South Carolina",Columbia,SC,34.029095,-80.898037,EVs & Batteries,4000,4/4/23
ABB,170,"New Berlin, WI",New Berlin,WI,43.018368,-88.30424,Clean Energy,450,4/4/23
EMD Electronics,328,"Hometown, PA",Hometown,PA,40.345,-76.1,Semiconductors & Electronics,N/A,4/12/23
Roseburg Forest Products,700,"Douglas and Coos Counties, OR",Douglas and Coos Counties,OR,43.286328,-123.154476,Biomanufacturing,120,4/14/23
6K Energy,200,"Madison County, TN",Madison County,TN,35.606056,-88.833424,EVs & Batteries,230,4/18/23
GM and Samsung SDI,3000,TBD,TBD,TBD,N/A,N/A,EVs & Batteries,N/A,4/25/23
Bosch,1500,"Roseville, CA",Roseville,CA,39.062032,-120.722718,Semiconductors & Electronics,N/A,4/26/23
GM,200,"Auburn Hills, MI",Auburn Hills,MI,42.660452,-83.38421,EVs & Batteries,1000,4/28/23
Nel Hydrogen,400,"TBD, MI",TBD,MI,N/A,N/A,Clean Energy,500,5/3/23
JSW Steel,145,"Mingo Junction, Ohio",Mingo Junction,OH,40.399384,-80.763527,Heavy Industry,N/A,5/3/23
Verbio,230,"South Bend, IN",South Bend,IN,41.6764,-86.252,Biomanufacturing,N/A,5/1/23
Port of Long Beach,4700,"Long Beach, CA",Long Beach,CA,33.7701,-118.1937,Clean Energy,N/A,5/9/23
Renewable IPP,TBD,"TBD, AK",TBD,AK,61.5826,-149.321,Clean Energy,N/A,8/16/22
Anovion  ,800,"TBD, GA",TBD,GA,31.5785,-84.1557,EVs & Batteries,400,5/15/23
Re:Build Manufacturing,81,"New Kensington, PA",New Kensington,PA,40.568,-79.77,Clean Energy,300,5/1/23
